2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:39:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:44:51 | mode=paper ──
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:44:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:49:51 | mode=paper ──
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:49:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:54:51 | mode=paper ──
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:54:51 | WARNING  | TradingBot.KiteClient | Kite not connected. Returning empty DataFrame.
2026-08-04 09:56:47 | INFO     | TradingBot.Main | DEMO MODE active — using simulated market data
2026-08-04 09:56:47 | INFO     | TradingBot.Main | Starting Trading Bot | mode=PAPER | date=2026-08-04
2026-08-04 09:56:48 | INFO     | TradingBot.DemoFeed | DemoMarket initialised | 10 symbols | candle every 30s
2026-08-04 09:56:48 | INFO     | TradingBot.Main | Demo feed ready — candles every 30 seconds
2026-08-04 09:56:48 | INFO     | TradingBot.KiteClient | KiteClient initialised | mode=paper | DEMO FEED ACTIVE
2026-08-04 09:56:48 | INFO     | TradingBot.TradeJournal | Trade journal database initialised at data/trades.db
2026-08-04 09:56:48 | INFO     | TradingBot.RiskManager | RiskManager | capital=INR 100,000 | risk/trade=1.5% | max_daily_loss=4.0%
2026-08-04 09:56:48 | INFO     | TradingBot.StrategyRunner | Loaded strategies: ['ema_crossover', 'rsi', 'vwap', 'supertrend']
2026-08-04 09:56:48 | INFO     | TradingBot.StrategyRunner | StrategyRunner ready | 4 strategies | 10 symbols | interval=demo
2026-08-04 09:56:48 | INFO     | TradingBot.Main | Demo: scan interval set to 30 seconds
2026-08-04 09:56:49 | INFO     | TradingBot.Dashboard | Dashboard initialised and connected to engine.
2026-08-04 09:56:49 | INFO     | TradingBot.Dashboard | Dashboard starting at http://localhost:5000
2026-08-04 09:56:49 | INFO     | TradingBot.Main | ✓ Dashboard running at http://localhost:5000
2026-08-04 09:56:49 | INFO     | TradingBot.Main | Demo mode: bypassing market hours check
2026-08-04 09:56:49 | INFO     | TradingBot.StrategyRunner | Main trading loop started. Tick every 30s.
2026-08-04 09:56:49 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:56:49 | mode=paper ──
2026-08-04 09:56:49 | INFO     | TradingBot.StrategyRunner | ▶ Strategy runner started (mode=paper)
2026-08-04 09:56:49 | INFO     | TradingBot.Main | Bot running. Press Ctrl+C to stop.
2026-08-04 09:56:49 | INFO     | TradingBot.StrategyRunner | 📶 Signal: [vwap] BUY AXISBANK @ 1145.09 | SL=1131.31 | TGT=1172.65 | R:R=2.0
2026-08-04 09:56:49 | INFO     | TradingBot.RiskManager | Position size | AXISBANK | qty=17 | risk=₹1500.00 | risk/share=13.78
2026-08-04 09:56:49 | INFO     | TradingBot.OrderManager | → Placing BUY order | AXISBANK x17 @ 1145.09 | SL=1131.31 | TGT=1172.65
2026-08-04 09:56:49 | INFO     | TradingBot.KiteClient | [PAPER] MARKET ORDER → BUY AXISBANK x17 on NSE
2026-08-04 09:56:49 | INFO     | TradingBot.KiteClient | Paper order placed. id=PAPER_AXISBANK_1785817609
2026-08-04 09:56:49 | INFO     | TradingBot.TradeJournal | ENTRY logged | BUY AXISBANK x17 @ 1145.09 | id=1
2026-08-04 09:56:49 | INFO     | TradingBot.OrderManager | ✓ Trade opened | id=1 | BUY AXISBANK x17
2026-08-04 09:57:19 | INFO     | TradingBot.StrategyRunner | ── Scan cycle | 09:57:19 | mode=paper ──
