id,trade_date,symbol,exchange,direction,quantity,entry_price,exit_price,stop_loss,target,strategy,status,pnl,entry_time,exit_time,order_id,exit_order_id,mode,notes
2,2026-08-04,TCS,NSE,BUY,5,3964.47,3964.47,3935.87,4021.67,supertrend,SQUARED_OFF,0.0,2026-08-04T09:58:20,2026-08-04T15:15:01,PAPER_TCS_1785817700,PAPER_TCS_1785836701,paper,
3,2026-08-04,TATAMOTORS,NSE,SELL,19,1030.73,1030.73,1042.67,1006.84,ema_crossover,SQUARED_OFF,0.0,2026-08-04T09:58:20,2026-08-04T15:15:01,PAPER_TATAMOTORS_1785817700,PAPER_TATAMOTORS_1785836701,paper,
1,2026-08-04,AXISBANK,NSE,BUY,17,1145.09,1145.09,1131.31,1172.65,vwap,SQUARED_OFF,0.0,2026-08-04T09:56:49,2026-08-04T15:15:01,PAPER_AXISBANK_1785817609,PAPER_AXISBANK_1785836701,paper,
